,Date,State,UR,StateName
338,1976-07-01,RI,8.1,rhode island
339,1976-07-01,SC,6.9,south carolina
340,1976-07-01,SD,3.1,south dakota
341,1976-07-01,TN,5.9,tennessee
342,1976-07-01,TX,5.8,texas
343,1976-07-01,UT,5.5,utah
344,1976-07-01,VT,8.3,vermont
345,1976-07-01,VA,5.8,virginia
346,1976-07-01,WA,8.8,washington
347,1976-07-01,WV,7.4,west virginia
348,1976-07-01,WI,5.4,wisconsin
349,1976-07-01,WY,3.9,wyoming
350,1976-08-01,AL,6.8,alabama
351,1976-08-01,AK,7.6,alaska
352,1976-08-01,AZ,9.4,arizona
353,1976-08-01,AR,6.7,arkansas
354,1976-08-01,CA,9.1,california
355,1976-08-01,CO,6.0,colorado
356,1976-08-01,CT,9.2,connecticut
357,1976-08-01,DE,9.4,delaware
358,1976-08-01,FL,8.8,florida
359,1976-08-01,GA,7.9,georgia
360,1976-08-01,HI,9.0,hawaii
361,1976-08-01,ID,5.6,idaho
362,1976-08-01,IL,6.6,illinois
363,1976-08-01,IN,5.7,indiana
364,1976-08-01,IA,3.8,iowa
365,1976-08-01,KS,4.1,kansas
366,1976-08-01,KY,5.3,kentucky
367,1976-08-01,LA,7.0,louisiana
368,1976-08-01,ME,8.5,maine
369,1976-08-01,MD,6.7,maryland
370,1976-08-01,MA,9.2,massachusetts
371,1976-08-01,MI,9.0,michigan
372,1976-08-01,MN,5.7,minnesota
373,1976-08-01,MS,6.4,mississippi
374,1976-08-01,MO,6.3,missouri
375,1976-08-01,MT,6.0,montana
376,1976-08-01,NE,3.1,nebraska
377,1976-08-01,NV,8.6,nevada
378,1976-08-01,NH,6.3,new hampshire
379,1976-08-01,NJ,10.5,new jersey
380,1976-08-01,NM,8.8,new mexico
381,1976-08-01,NY,10.2,new york
382,1976-08-01,NC,6.0,north carolina
383,1976-08-01,ND,3.9,north dakota
384,1976-08-01,OH,7.5,ohio
385,1976-08-01,OK,5.6,oklahoma
386,1976-08-01,OR,9.1,oregon
387,1976-08-01,PA,7.8,pennsylvania
388,1976-08-01,RI,8.1,rhode island
389,1976-08-01,SC,6.9,south carolina
390,1976-08-01,SD,3.2,south dakota
391,1976-08-01,TN,6.0,tennessee
392,1976-08-01,TX,5.7,texas
393,1976-08-01,UT,5.5,utah
394,1976-08-01,VT,8.2,vermont
395,1976-08-01,VA,5.8,virginia
396,1976-08-01,WA,8.9,washington
397,1976-08-01,WV,7.0,west virginia
398,1976-08-01,WI,5.4,wisconsin
399,1976-08-01,WY,3.9,wyoming
400,1976-09-01,AL,6.9,alabama
401,1976-09-01,AK,7.9,alaska
402,1976-09-01,AZ,9.3,arizona
403,1976-09-01,AR,6.6,arkansas
404,1976-09-01,CA,9.2,california
405,1976-09-01,CO,6.1,colorado
406,1976-09-01,CT,9.0,connecticut
407,1976-09-01,DE,9.6,delaware
408,1976-09-01,FL,8.8,florida
